,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,passenger_group,passenger_num,deck,num,side,First Name,Last Name,total_passenger,total_expense,with_family
102,0108_03,Earth,False,G/19/S,TRAPPIST-1e,0.0,,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,True,0108,3,G,19,S,Oline,Handertiz,3,0.0,1
103,0110_01,Europa,False,,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,False,0110,1,,,,Graviph,Aloubtled,4,5109.0,1
104,0110_02,Europa,,B/5/P,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,False,0110,2,B,5,P,Aldeba,Bootious,4,2018.0,0
105,0110_03,Europa,False,B/5/P,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,True,0110,3,B,5,P,Alaratz,Aloubtled,4,15940.0,1
106,0110_04,Europa,True,B/5/P,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True,0110,4,B,5,P,Izark,Aloubtled,4,0.0,1
113,0119_01,,False,A/0/P,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,False,0119,1,A,0,P,Batan,Coning,2,9307.0,1
114,0119_02,Europa,True,A/0/P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True,0119,2,A,0,P,Kleeiak,Coning,2,0.0,1
120,0128_01,Mars,False,D/3/S,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,False,0128,1,D,3,S,Grohs,Fles,2,3014.0,1
121,0128_02,Mars,False,E/8/S,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,Barave Fles,False,0128,2,E,8,S,Barave,Fles,2,2109.0,1
123,0133_01,Mars,True,F/29/S,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Flynx Blie,True,0133,1,F,29,S,Flynx,Blie,2,0.0,1
124,0133_02,Mars,False,D/5/S,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,False,0133,2,D,5,S,Egrasp,Blie,2,2738.0,1
127,0138_01,Earth,True,G/18/P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,True,0138,1,G,18,P,Fayene,Gambs,2,0.0,1
128,0138_02,Earth,False,E/5/P,,34.0,False,0.0,22.0,0.0,564.0,207.0,Monah Gambs,False,0138,2,E,5,P,Monah,Gambs,2,793.0,1
130,0140_01,Earth,True,G/19/P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,True,0140,1,G,19,P,Evaley,Mejiaddox,2,0.0,0
131,0140_02,Earth,False,F/29/P,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,False,0140,2,F,29,P,Verney,Whitakers,2,902.0,0
141,0163_01,Europa,True,B/8/P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,True,0163,1,B,8,P,Kabiton,Hetforhaft,2,0.0,1
142,0163_02,Europa,True,B/8/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,True,0163,2,B,8,P,Scharab,Hetforhaft,2,0.0,1
143,0164_01,Earth,False,G/28/S,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,,135.0,Fany Hutchinton,True,0164,1,G,28,S,Fany,Hutchinton,2,1873.0,1
144,0164_02,Earth,True,G/28/S,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,False,0164,2,G,28,S,Ianya,Hutchinton,2,0.0,1
146,0167_01,Mars,True,F/35/S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Miten Floaf,True,0167,1,F,35,S,Miten,Floaf,2,0.0,1
147,0167_02,Mars,False,F/35/S,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,False,0167,2,F,35,S,Rios,Floaf,2,1572.0,1
156,0179_01,Earth,False,G/26/P,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,Elaney Webstephrey,True,0179,1,G,26,P,Elaney,Webstephrey,3,906.0,1
157,0179_02,Earth,False,G/26/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,False,0179,2,G,26,P,Raque,Webstephrey,3,0.0,1
158,0179_03,Earth,False,G/26/P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Sallyl Webstephrey,True,0179,3,G,26,P,Sallyl,Webstephrey,3,0.0,1
166,0192_01,Earth,True,G/29/P,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Tance Adavisons,True,0192,1,G,29,P,Tance,Adavisons,3,0.0,1
167,0192_02,Earth,False,G/29/P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,Robyny Adavisons,False,0192,2,G,29,P,Robyny,Adavisons,3,0.0,1
168,0192_03,Earth,False,G/29/P,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,Lilace Adavisons,False,0192,3,G,29,P,Lilace,Adavisons,3,908.0,1
169,0193_01,Mars,True,F/41/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Sps Raf,True,0193,1,F,41,P,Sps,Raf,3,0.0,1
170,0193_02,Mars,False,F/41/P,TRAPPIST-1e,23.0,False,,0.0,8.0,1072.0,0.0,Frook Raf,False,0193,2,F,41,P,Frook,Raf,3,1080.0,1
171,0193_03,Mars,False,F/41/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Goles Raf,True,0193,3,F,41,P,Goles,Raf,3,0.0,1
178,0201_01,Europa,True,B/3/S,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Kaffias Bacistion,True,0201,1,B,3,S,Kaffias,Bacistion,2,0.0,1
179,0201_02,Europa,True,B/3/S,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,Edaruma Bacistion,True,0201,2,B,3,S,Edaruma,Bacistion,2,0.0,1
180,0202_01,Europa,True,B/9/P,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,Pomera Embleng,True,0202,1,B,9,P,Pomera,Embleng,2,0.0,1
181,0202_02,Europa,False,A/2/P,55 Cancri e,,False,0.0,2433.0,,878.0,443.0,Vegas Embleng,True,0202,2,A,2,P,Vegas,Embleng,2,3754.0,1
187,0211_01,Mars,False,F/44/P,TRAPPIST-1e,29.0,False,902.0,1.0,137.0,0.0,0.0,Pebuts Appie,True,0211,1,F,44,P,Pebuts,Appie,3,1040.0,1
188,0211_02,Mars,True,F/44/P,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,Corsh Appie,True,0211,2,F,44,P,Corsh,Appie,3,0.0,1
189,0211_03,Mars,False,F/44/P,TRAPPIST-1e,17.0,False,848.0,0.0,307.0,182.0,0.0,Picers Date,False,0211,3,F,44,P,Picers,Date,3,1337.0,0
190,0212_01,Earth,False,E/9/P,TRAPPIST-1e,13.0,False,192.0,0.0,0.0,51.0,739.0,Inen Workmans,False,0212,1,E,9,P,Inen,Workmans,2,982.0,1
191,0212_02,Earth,False,F/45/P,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,Shally Workmans,False,0212,2,F,45,P,Shally,Workmans,2,732.0,1
196,0220_01,Earth,True,G/37/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Tyle Wilsoney,True,0220,1,G,37,P,Tyle,Wilsoney,7,0.0,1
197,0220_02,Earth,False,G/37/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Wena Wilsoney,True,0220,2,G,37,P,Wena,Wilsoney,7,0.0,1
198,0220_03,Earth,True,G/37/P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Branca Wilsoney,False,0220,3,G,37,P,Branca,Wilsoney,7,0.0,1
199,0220_04,Earth,False,E/10/P,TRAPPIST-1e,25.0,False,122.0,84.0,,0.0,0.0,Dont Wilsoney,False,0220,4,E,10,P,Dont,Wilsoney,7,206.0,1
200,0220_05,Earth,False,F/48/P,TRAPPIST-1e,16.0,False,0.0,3.0,0.0,0.0,1099.0,Velyne Wilsoney,False,0220,5,F,48,P,Velyne,Wilsoney,7,1102.0,1
201,0220_06,Earth,False,G/37/P,55 Cancri e,1.0,False,0.0,0.0,0.0,0.0,0.0,Weney Wilsoney,False,0220,6,G,37,P,Weney,Wilsoney,7,0.0,1
202,0220_07,Earth,True,G/37/P,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,Guye Wilsoney,True,0220,7,G,37,P,Guye,Wilsoney,7,0.0,1
203,0221_01,Mars,False,E/13/S,55 Cancri e,21.0,False,2237.0,0.0,119.0,0.0,0.0,Cowhex Blan,False,0221,1,E,13,S,Cowhex,Blan,7,2356.0,0
204,0221_02,Mars,False,E/13/S,TRAPPIST-1e,23.0,False,1215.0,80.0,1.0,2.0,0.0,Yogark Reke,False,0221,2,E,13,S,Yogark,Reke,7,1298.0,1
205,0221_03,Mars,False,E/13/S,TRAPPIST-1e,33.0,False,1933.0,12.0,188.0,1.0,0.0,Jacks Reke,False,0221,3,E,13,S,Jacks,Reke,7,2134.0,1
206,0221_04,Mars,True,E/13/S,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,Eerch Reke,True,0221,4,E,13,S,Eerch,Reke,7,0.0,1
207,0221_05,Mars,False,E/13/S,TRAPPIST-1e,41.0,False,1230.0,0.0,301.0,43.0,1023.0,Panbug Reke,False,0221,5,E,13,S,Panbug,Reke,7,2597.0,1
208,0221_06,Mars,False,E/13/S,TRAPPIST-1e,16.0,False,915.0,0.0,221.0,234.0,0.0,Gran Reke,False,0221,6,E,13,S,Gran,Reke,7,1370.0,1
209,0221_07,Mars,True,E/13/S,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,Rohs Reke,False,0221,7,E,13,S,Rohs,Reke,7,0.0,1
210,0222_01,Mars,False,F/41/S,TRAPPIST-1e,20.0,False,1406.0,0.0,0.0,11.0,0.0,Gone Perte,False,0222,1,F,41,S,Gone,Perte,3,1417.0,1
211,0222_02,Mars,True,F/41/S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Colf Deva,True,0222,2,F,41,S,Colf,Deva,3,0.0,0
212,0222_03,Mars,True,E/14/S,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,Grake Perte,True,0222,3,E,14,S,Grake,Perte,3,0.0,1
227,0244_01,Mars,True,,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,0.0,Froos Sad,True,0244,1,,,,Froos,Sad,2,0.0,1
228,0244_02,Mars,True,F/47/S,55 Cancri e,14.0,,0.0,0.0,0.0,0.0,0.0,Tous Sad,True,0244,2,F,47,S,Tous,Sad,2,0.0,1
229,0245_01,Europa,False,C/6/P,55 Cancri e,46.0,False,0.0,3571.0,0.0,0.0,7.0,Glueba Repumparte,True,0245,1,C,6,P,Glueba,Repumparte,2,3578.0,1
230,0245_02,Europa,False,C/6/P,TRAPPIST-1e,33.0,False,0.0,86.0,796.0,584.0,10912.0,Anchib Repumparte,False,0245,2,C,6,P,Anchib,Repumparte,2,12378.0,1
239,0257_01,Mars,False,F/49/S,55 Cancri e,21.0,False,1664.0,0.0,,0.0,0.0,Errohs Berte,False,0257,1,F,49,S,Errohs,Berte,2,1664.0,1
240,0257_02,Mars,True,F/49/S,TRAPPIST-1e,60.0,False,0.0,0.0,0.0,0.0,0.0,Squars Berte,True,0257,2,F,49,S,Squars,Berte,2,0.0,1
251,0278_01,Earth,False,,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,888.0,,Judya Beachez,False,0278,1,,,,Judya,Beachez,2,888.0,1
252,0278_02,Earth,False,G/45/P,TRAPPIST-1e,45.0,False,0.0,97.0,0.0,14.0,333.0,Marice Beachez,False,0278,2,G,45,P,Marice,Beachez,2,444.0,1
255,0283_01,Earth,True,G/46/P,PSO J318.5-22,29.0,False,0.0,0.0,0.0,0.0,0.0,Jacky Santin,True,0283,1,G,46,P,Jacky,Santin,2,0.0,1
256,0283_02,Earth,False,F/64/P,TRAPPIST-1e,22.0,False,146.0,654.0,1.0,0.0,2.0,Roydo Santin,True,0283,2,F,64,P,Roydo,Santin,2,803.0,1
257,0285_01,Europa,True,E/16/P,TRAPPIST-1e,14.0,False,0.0,0.0,0.0,0.0,0.0,Krabik Invebodene,True,0285,1,E,16,P,Krabik,Invebodene,2,0.0,1
258,0285_02,Europa,True,E/16/P,55 Cancri e,42.0,False,0.0,0.0,0.0,0.0,0.0,Grasath Invebodene,True,0285,2,E,16,P,Grasath,Invebodene,2,0.0,1
260,0287_01,Europa,True,,55 Cancri e,39.0,False,0.0,0.0,0.0,0.0,0.0,Tetra Bootty,True,0287,1,,,,Tetra,Bootty,2,0.0,1
261,0287_02,Europa,False,B/12/P,TRAPPIST-1e,28.0,False,0.0,587.0,32.0,6.0,1460.0,Alasym Bootty,False,0287,2,B,12,P,Alasym,Bootty,2,2085.0,1
264,0290_01,Europa,False,B/7/S,55 Cancri e,26.0,False,0.0,4458.0,0.0,1157.0,262.0,Skaton Excialing,True,0290,1,B,7,S,Skaton,Excialing,4,5877.0,1
265,0290_02,Europa,True,B/7/S,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Algor Excialing,True,0290,2,B,7,S,Algor,Excialing,4,0.0,1
266,0290_03,Europa,,B/7/S,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,0.0,Dhenar Excialing,True,0290,3,B,7,S,Dhenar,Excialing,4,0.0,1
267,0290_04,Europa,False,B/7/S,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,Atino Excialing,True,0290,4,B,7,S,Atino,Excialing,4,0.0,1
281,0313_01,Earth,False,F/68/P,PSO J318.5-22,60.0,False,7.0,540.0,1.0,0.0,4.0,Briney Mckinsond,True,0313,1,F,68,P,Briney,Mckinsond,4,552.0,1
282,0313_02,Earth,True,G/50/P,55 Cancri e,,False,0.0,0.0,,0.0,0.0,Jona Mckinsond,True,0313,2,G,50,P,Jona,Mckinsond,4,0.0,1
283,0313_03,Earth,False,F/68/P,55 Cancri e,49.0,False,331.0,0.0,0.0,318.0,0.0,Jaimer Mckinsond,True,0313,3,F,68,P,Jaimer,Mckinsond,4,649.0,1
284,0313_04,Earth,False,G/50/P,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,Hary Mckinsond,True,0313,4,G,50,P,Hary,Mckinsond,4,0.0,1
287,0316_01,Europa,False,B/9/S,TRAPPIST-1e,24.0,False,0.0,2628.0,,170.0,0.0,Hallah Sorbitter,True,0316,1,B,9,S,Hallah,Sorbitter,2,2798.0,1
288,0316_02,Europa,True,B/9/S,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,,Beneba Sorbitter,True,0316,2,B,9,S,Beneba,Sorbitter,2,0.0,1
289,0320_01,Earth,False,G/44/S,TRAPPIST-1e,18.0,False,0.0,2.0,0.0,,0.0,Breney Bellarkerd,False,0320,1,G,44,S,Breney,Bellarkerd,2,2.0,1
290,0320_02,Earth,False,G/44/S,TRAPPIST-1e,21.0,False,0.0,5.0,3.0,0.0,,Garley Bellarkerd,False,0320,2,G,44,S,Garley,Bellarkerd,2,8.0,1
296,0330_01,Europa,False,C/14/S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Bellah Siveduced,True,0330,1,C,14,S,Bellah,Siveduced,3,0.0,1
297,0330_02,Europa,False,C/14/S,TRAPPIST-1e,32.0,False,247.0,4651.0,0.0,46.0,202.0,,True,0330,2,C,14,S,,,3,5146.0,0
298,0330_03,Europa,False,C/14/S,TRAPPIST-1e,33.0,False,443.0,317.0,0.0,148.0,1260.0,Hekaton Siveduced,False,0330,3,C,14,S,Hekaton,Siveduced,3,2168.0,1
303,0337_01,Mars,True,F/63/S,55 Cancri e,2.0,False,0.0,0.0,0.0,0.0,0.0,Guanch Perle,True,0337,1,F,63,S,Guanch,Perle,3,0.0,1
304,0337_02,Mars,False,F/63/S,TRAPPIST-1e,19.0,False,417.0,349.0,634.0,3.0,1057.0,Weros Perle,True,0337,2,F,63,S,Weros,Perle,3,2460.0,1
305,0337_03,Mars,False,F/63/S,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,,True,0337,3,F,63,S,,,3,0.0,0
313,0348_01,Mars,False,D/12/P,TRAPPIST-1e,22.0,False,142.0,2876.0,202.0,3.0,0.0,Stray Mane,True,0348,1,D,12,P,Stray,Mane,2,3223.0,1
314,0348_02,Mars,,,TRAPPIST-1e,36.0,False,520.0,0.0,1865.0,0.0,0.0,Weet Mane,True,0348,2,,,,Weet,Mane,2,2385.0,1
320,0358_01,Earth,True,G/50/S,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,Ronna Connon,True,0358,1,G,50,S,Ronna,Connon,2,0.0,1
321,0358_02,Earth,True,G/50/S,PSO J318.5-22,32.0,False,0.0,0.0,0.0,0.0,0.0,Dandy Connon,True,0358,2,G,50,S,Dandy,Connon,2,0.0,1
326,0368_01,Mars,False,F/82/P,TRAPPIST-1e,26.0,False,2832.0,107.0,4447.0,15.0,4.0,Resers Perte,False,0368,1,F,82,P,Resers,Perte,2,7405.0,1
327,0368_02,Mars,True,F/82/P,TRAPPIST-1e,61.0,False,0.0,0.0,0.0,0.0,0.0,Batech Perte,True,0368,2,F,82,P,Batech,Perte,2,0.0,1
336,0378_01,Europa,False,B/11/S,55 Cancri e,18.0,False,17.0,215.0,4.0,5132.0,697.0,Bram Pirejus,False,0378,1,B,11,S,Bram,Pirejus,7,6065.0,1
337,0378_02,Europa,True,B/11/S,55 Cancri e,21.0,False,0.0,0.0,0.0,0.0,0.0,Marfak Pirejus,True,0378,2,B,11,S,Marfak,Pirejus,7,0.0,1
